Instructions,Game 1,Game 2,Game 3,Game4,Game5,Winner Circle 1,Winner Circle 2,Winner Circle 3,Winner Circle 4,Winner Circle 5
Catagory 1,I love you?,Breakfast Foods,Hobbies,Shirtless Hot Spots,,Things that Fly,Things that are Rough,Things That are Dunked,Types of Pets,
1,Thank you,Eggs,Sewing,Beach,,a,a,a,a,
2,That’s cute,Bacon,Stamp Collecting,Gym,,b,b,b,b,
3,OK,Waffles,Swimming,Shower,,c,c,c,c,
4,I'm married,Pancakes,Jogging,Tattoo Parlor,,d,d,d,d,
5,Look at the time,Cereal,Golf,Swimming Pool,,e,e,e,e,
6,I'm sorry,Grits,Surfing,Bedroom,,f,f,f,f,
7,Silence,Fruit,Knitting,Morgue,,g,g,g,g,
,,,,,,,,,,
Catagory 2,At the Beach,Movie Attack,World Foods,Wrestling Backstage,,Ex Presidents,Things people kick,Things People Paint,Things People Drive,
1,Towel,Aliens,Pizza,Mask,,,,,,
2,Sun Glasses,Sharks,Taco,Tights,,,,,,
3,Volleyball,Vampires,Spaghetti,Cape,,,,,,
4,Sand Castle,Witches,Rice,Belt,,,,,,
5,Kite,Zombies,Sushi,Brass Knuckles,,,,,,
6,Surfer,Chainsaws,Quiche,Chair,,,,,,
7,Picnic,Ghost,Hamburger,Boots,,,,,,
,,,,,,,,,,
Catagory 3,Be Thankful,Junk in your Trunk,Dance Moves,Occupational Hazzards,,Types of Surgeries,Things made from Glass,Things on a Sandwich,Types of Cookies,
1,Turkey,Spare Tire,Sprinkler,Pilot,,,,,,
2,Mashed Potatoes,Jack,Moonwalk,Waiter,,,,,,
3,Pumpkin Pie,Blanket,Robot,Dentist,,,,,,
4,Ham,Suitcase,Twist,Tightrope walker,,,,,,
5,Stuffing,Stroller,Dab,Firefighter,,,,,,
6,Gravy,Tools,Waltz,Sword Juggler,,,,,,
7,Mac and Cheese,Flashlight,The Two Step,Tattoo Artist,,,,,,
,,,,,,,,,,
Catagory 4,Candy Bars,Lost Keys,Unsinkable,Keep Em Safe,,Social Media Sites,Things in an Orchestra,Things you Roll,Types of Cars,
1,Snickers,Purse,Rubber Duck,Head,,,,,,
2,Heath,Desk,Beach Ball,Child,,,,,,
3,Baby Ruth,Office,Boat,Wallet,,,,,,
4,Milky Way,Refrigerator,Life Jacket,Eggs,,,,,,
5,Butterfinger,Counter,Coconut,Reputation,,,,,,
6,3 Musketeer,Ignition,Raft,Password,,,,,,
7,Kit Kat,Pocket,Duck,Secret,,,,,,
,,,,,,,,,,
Catagory 5,Team Sports,Black & White,Wakey Wakey,Under The Bed,,Things a Referee would say,Primetime Gameshows,Games at a Casino,Insects that Fly,
1,Soccer,Zebra,Eat,Monsters,,,,,,
2,Basketball,Panda,Shower,Stranger,,,,,,
3,Baseball,Oreo Cookie,Check E-mail,Burglar,,,,,,
4,Football,Chess,Dress,Snake,,,,,,
5,Cricket,A Dalmatian,Coffee,Room Steward,,,,,,
6,Tennis,Tuxedo,Stretch,Spider,,,,,,
7,Rugby,Newspaper,Exercise,Dust Bunnies,,,,,,
,,,,,,,,,,
Catagory 6,Board Games,It's In Your Smile,On the Go,Ups & Downs,,Types of Fish,Anything with seeds,Types of Hairstyles,Olympic Sports,
1,Monopoly,Corn,Airplane,Scream,,,,,,
2,Clue,Pepper,Train,Hands up,,,,,,
3,Risk,Steak,Boat,Close Eyes,,,,,,
4,Scrabble,Peanuts,Car,Lose Sunglasses,,,,,,
5,Hungry Hungry Hippos,Spinach,Escalator,Throw Up,,,,,,
6,Chutes and Ladders,Caramel,Motorcycle,Hold On,,,,,,
7,Battleship,Popcorn,Subway,Fasten seat belt,,,,,,